Stim,Stim_Deriv,Cont,Cont_Deriv
3.892132e-02,6.549294e-05,-9.794861e-01,-5.874312e-03
3.897075e-02,1.178188e-05,-9.827773e-01,-6.188254e-03
3.894695e-02,-4.544662e-04,-9.863283e-01,-6.003096e-03
3.806388e-02,-5.190914e-02,-9.892492e-01,4.529841e-02
-6.486926e-02,-2.322565e-01,-8.901973e-01,2.264074e-01
-4.264464e-01,-3.175813e-01,-5.308987e-01,4.145987e-01
-7.000264e-01,-6.363258e-02,-5.545867e-02,5.222185e-01
-5.537042e-01,2.221955e-01,5.190867e-01,5.100211e-01
-2.556291e-01,2.556979e-01,9.701406e-01,3.303065e-01
-4.230416e-02,1.607749e-01,1.185264e+00,1.273227e-01
6.592339e-02,7.388056e-02,1.230353e+00,1.116353e-03
1.054588e-01,2.014494e-02,1.193064e+00,-5.309826e-02
1.062149e-01,-7.813488e-03,1.129724e+00,-6.434822e-02
8.983345e-02,-1.770091e-02,1.069934e+00,-5.484351e-02
7.081473e-02,-1.688012e-02,1.025602e+00,-3.886725e-02
5.607503e-02,-1.196790e-02,9.977639e-01,-2.430717e-02
4.688088e-02,-7.076817e-03,9.825520e-01,-1.397179e-02
4.192340e-02,-3.695805e-03,9.753844e-01,-7.643931e-03
3.949131e-02,-1.795939e-03,9.728280e-01,-4.049186e-03
3.833358e-02,-8.768884e-04,9.728498e-01,-1.982305e-03
3.773960e-02,-4.880652e-04,9.744273e-01,-6.490210e-04
3.735952e-02,-3.440972e-04,9.771157e-01,3.697809e-04
3.705348e-02,-2.945519e-04,9.807308e-01,1.267042e-03
3.677250e-02,-2.846865e-04,9.852138e-01,2.121500e-03
3.648618e-02,-2.858088e-04,9.905378e-01,2.965194e-03
3.620296e-02,-2.583656e-04,9.967083e-01,3.830934e-03
3.597153e-02,-2.099488e-04,1.003764e+00,4.722417e-03
3.578515e-02,-1.982819e-04,1.011717e+00,5.623341e-03
3.557706e-02,-2.338294e-04,1.020575e+00,6.509357e-03
3.531957e-02,-2.778055e-04,1.030301e+00,7.345596e-03
3.502353e-02,-3.084545e-04,1.040831e+00,8.119125e-03
3.470476e-02,-3.255212e-04,1.052104e+00,8.834296e-03
3.437458e-02,-3.332132e-04,1.064065e+00,9.496294e-03
3.404043e-02,-3.349784e-04,1.076662e+00,1.010685e-02
3.370672e-02,-7.364019e-04,1.089844e+00,1.026190e-02
3.256972e-02,-5.216949e-02,1.102751e+00,-4.067168e-02
-7.063015e-02,-2.325390e-01,1.014066e+00,-2.214065e-01
-4.325054e-01,-3.178845e-01,6.655026e-01,-4.092448e-01
-7.063937e-01,-6.393481e-02,2.011358e-01,-5.165344e-01
-5.603676e-01,2.219037e-01,-3.620140e-01,-5.040246e-01
-2.625799e-01,2.553952e-01,-8.013696e-01,-3.240280e-01
-4.957300e-02,1.604475e-01,-1.004533e+00,-1.207925e-01
