,Subject,ai_dmn,cope,fb,roi,roi_nogsr,signal,signal_nogsr
121,CCD081,9.92570744066,4,NOFEEDBACK,-0.0738371726846,-1.62654469613,1.52568062116,-0.040233514386
122,CCD081,6.46376427977,3,FEEDBACK,0.159893192647,0.156923384406,0.874783264034,-0.114230067613
123,CCD081,6.46376427977,4,FEEDBACK,0.196525678143,0.287137928941,1.50207788509,-0.103861171578
124,CCD082,8.55200244694,3,FEEDBACK,0.0596524582263,-0.0429099232893,-0.520667654996,-0.0938920422969
125,CCD082,8.55200244694,4,FEEDBACK,0.0292094717435,-0.298483355749,0.17234277992,-0.0732737786553
126,CCD082,7.81333899693,3,NOFEEDBACK,-0.0301603064989,-1.51845470647,0.900875903613,0.0339530246076
127,CCD082,7.81333899693,4,NOFEEDBACK,-0.0542999984472,-3.22751136664,0.903028125431,-0.0318497569324
128,CCD084,6.92585133313,3,FEEDBACK,0.0156320738757,-0.94167606104,0.592973850796,-0.19405266654
129,CCD084,6.92585133313,4,FEEDBACK,0.0480778454245,-0.811758200139,1.02092100589,-0.171122219029
130,CCD084,4.47370075195,3,NOFEEDBACK,-0.239765988662,-4.3054416236,4.56684836939,-0.00480377335536
131,CCD084,4.47370075195,4,NOFEEDBACK,-0.258561954634,-4.11916683195,4.37690951573,0.00838889080906
132,CCD085,1.73588318467,3,NOFEEDBACK,-0.238629060905,-2.42277326089,-5.13303514669,-0.519932323441
133,CCD085,1.73588318467,4,NOFEEDBACK,-0.507481781691,-3.43870551743,-1.26407225832,-0.204861231862
134,CCD085,4.69537301157,3,FEEDBACK,0.100248033846,-9.64648928432,-3.28103397225,-0.351522370476
135,CCD085,4.69537301157,4,FEEDBACK,0.0192032146692,-50.505949434,-2.05334442775,-0.315051846518
136,CCD088,6.42634174666,3,FEEDBACK,0.138401862481,-0.143991860629,0.220981137643,-0.228330565972
137,CCD088,6.42634174666,4,FEEDBACK,0.147470469053,-0.122537997316,4.03752154194,0.0245489316463
138,CCD088,7.81951855096,3,NOFEEDBACK,-0.0445154674639,-1.43230911517,-0.0338103890955,-0.257086863707
139,CCD088,7.81951855096,4,NOFEEDBACK,-0.070539509698,-1.41245474199,2.72944390977,-0.0819663681622
